[INFO      ] (MainThread), 2017/08/08 01:05:43, Triggers: Timed, *
[INFO      ] (MainThread), 2017/08/08 01:05:43, Interval: 1000
[DEBUG     ] (MainThread), 2017/08/08 01:05:43, Creating instrument interface...
[DEBUG     ] (MainThread), 2017/08/08 01:05:43, Interface ready
[INFO      ] (MainThread), 2017/08/08 01:05:46, UI not found, showing default
[INFO      ] (Dummy-5   ), 2017/08/08 01:05:48, Init complete
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:05:48, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:18:54, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:18:54, Acq. 0, Trigger: RaspPi, RecNum: 0
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:18:55, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:18:56, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:18:56, Acq. 1, Trigger: RaspPi, RecNum: 1
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:18:57, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:18:57, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:18:57, Acq. 2, Trigger: RaspPi, RecNum: 2
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:18:58, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:18:59, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:18:59, Acq. 3, Trigger: RaspPi, RecNum: 3
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:00, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:00, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:00, Acq. 4, Trigger: RaspPi, RecNum: 4
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:01, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:02, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:02, Acq. 5, Trigger: RaspPi, RecNum: 5
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:03, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:03, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:03, Acq. 6, Trigger: RaspPi, RecNum: 6
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:04, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:04, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:04, Acq. 7, Trigger: RaspPi, RecNum: 7
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:05, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:06, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:06, Acq. 8, Trigger: RaspPi, RecNum: 8
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:07, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:07, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:07, Acq. 9, Trigger: RaspPi, RecNum: 9
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:08, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:08, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:08, Acq. 10, Trigger: RaspPi, RecNum: 10
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:09, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:10, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:10, Acq. 11, Trigger: RaspPi, RecNum: 11
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:11, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:11, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:11, Acq. 12, Trigger: RaspPi, RecNum: 12
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:12, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:13, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:13, Acq. 13, Trigger: RaspPi, RecNum: 13
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:14, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:14, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:14, Acq. 14, Trigger: RaspPi, RecNum: 14
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:15, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:16, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:16, Acq. 15, Trigger: RaspPi, RecNum: 15
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:17, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:22, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:22, Acq. 16, Trigger: RaspPi, RecNum: 16
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:23, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:29, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:29, Acq. 17, Trigger: RaspPi, RecNum: 17
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:30, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:31, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:31, Acq. 18, Trigger: RaspPi, RecNum: 18
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:32, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:33, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:33, Acq. 19, Trigger: RaspPi, RecNum: 19
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:33, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:34, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:34, Acq. 20, Trigger: RaspPi, RecNum: 20
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:35, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:35, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:36, Acq. 21, Trigger: RaspPi, RecNum: 21
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:37, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:37, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:37, Acq. 22, Trigger: RaspPi, RecNum: 22
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:38, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:38, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:38, Acq. 23, Trigger: RaspPi, RecNum: 23
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:39, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:40, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:40, Acq. 24, Trigger: RaspPi, RecNum: 24
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:41, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:41, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:41, Acq. 25, Trigger: RaspPi, RecNum: 25
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:43, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:43, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:43, Acq. 26, Trigger: RaspPi, RecNum: 26
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:44, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:44, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:44, Acq. 27, Trigger: RaspPi, RecNum: 27
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:45, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:45, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:45, Acq. 28, Trigger: RaspPi, RecNum: 28
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:47, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:47, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:47, Acq. 29, Trigger: RaspPi, RecNum: 29
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:48, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:48, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:48, Acq. 30, Trigger: RaspPi, RecNum: 30
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:49, Ready
