[INFO      ] (MainThread), 2017/08/08 01:05:45, Triggers: Timed,*
[INFO      ] (MainThread), 2017/08/08 01:05:45, Interval: 900000
[DEBUG     ] (MainThread), 2017/08/08 01:05:45, Creating instrument interface...
[DEBUG     ] (MainThread), 2017/08/08 01:05:45, Interface ready
[INFO      ] (Dummy-9   ), 2017/08/08 01:05:52, Init complete
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:05:52, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:18:54, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:18:54, Acq. 0, Trigger: RaspPi, RecNum: 0
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:18:54, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:18:56, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:18:56, Acq. 1, Trigger: RaspPi, RecNum: 1
[WARNING   ] (Dummy-9   ), 2017/08/08 01:18:56, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:18:56, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:18:56, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:18:56, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:18:57, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:18:57, Acq. 2, Trigger: RaspPi, RecNum: 2
[WARNING   ] (Dummy-9   ), 2017/08/08 01:18:57, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:18:58, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:18:59, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:18:59, Acq. 3, Trigger: RaspPi, RecNum: 3
[WARNING   ] (Dummy-9   ), 2017/08/08 01:18:59, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:18:59, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:00, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:00, Acq. 4, Trigger: RaspPi, RecNum: 4
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:00, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:00, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:00, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:02, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:02, Acq. 5, Trigger: RaspPi, RecNum: 5
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:02, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:02, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:02, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:03, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:03, Acq. 6, Trigger: RaspPi, RecNum: 6
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:03, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:03, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:03, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:03, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:03, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:03, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:04, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:04, Acq. 7, Trigger: RaspPi, RecNum: 7
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:04, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:04, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:05, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:05, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:05, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:06, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:06, Acq. 8, Trigger: RaspPi, RecNum: 8
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:06, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:06, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:06, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:07, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:07, Acq. 9, Trigger: RaspPi, RecNum: 9
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:07, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:07, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:07, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:08, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:08, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:08, Acq. 10, Trigger: RaspPi, RecNum: 10
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:09, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:10, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:10, Acq. 11, Trigger: RaspPi, RecNum: 11
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:10, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:10, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:10, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:10, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:10, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:10, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:11, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:11, Acq. 12, Trigger: RaspPi, RecNum: 12
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:11, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:11, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:12, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:13, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:13, Acq. 13, Trigger: RaspPi, RecNum: 13
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:13, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:14, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:14, Acq. 14, Trigger: RaspPi, RecNum: 14
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:14, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:14, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:14, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:15, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:16, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:16, Acq. 15, Trigger: RaspPi, RecNum: 15
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:16, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:22, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:22, Acq. 16, Trigger: RaspPi, RecNum: 16
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:22, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:29, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:29, Acq. 17, Trigger: RaspPi, RecNum: 17
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:29, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:29, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:31, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:31, Acq. 18, Trigger: RaspPi, RecNum: 18
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:31, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:31, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:31, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:31, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:33, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:33, Acq. 19, Trigger: RaspPi, RecNum: 19
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:33, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:33, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:34, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:34, Acq. 20, Trigger: RaspPi, RecNum: 20
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:34, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:34, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:34, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:34, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:35, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:35, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:36, Acq. 21, Trigger: RaspPi, RecNum: 21
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:36, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:36, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:36, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:37, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:37, Acq. 22, Trigger: RaspPi, RecNum: 22
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:37, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:38, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:38, Acq. 23, Trigger: RaspPi, RecNum: 23
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:39, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:40, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:40, Acq. 24, Trigger: RaspPi, RecNum: 24
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:40, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:40, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:40, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:41, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:41, Acq. 25, Trigger: RaspPi, RecNum: 25
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:41, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:43, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:43, Acq. 26, Trigger: RaspPi, RecNum: 26
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:43, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:44, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:44, Acq. 27, Trigger: RaspPi, RecNum: 27
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:44, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:45, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:45, Acq. 28, Trigger: RaspPi, RecNum: 28
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:45, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:45, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:46, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:47, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:47, Acq. 29, Trigger: RaspPi, RecNum: 29
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:47, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:48, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:48, Acq. 30, Trigger: RaspPi, RecNum: 30
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:48, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:49, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:50, Acq. 31, Trigger: RaspPi, RecNum: 31
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:50, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:50, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:50, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:50, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:51, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:51, Acq. 32, Trigger: RaspPi, RecNum: 32
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:52, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:59, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:19:59, Acq. 33, Trigger: RaspPi, RecNum: 33
[WARNING   ] (Dummy-9   ), 2017/08/08 01:19:59, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:19:59, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:06, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:06, Acq. 34, Trigger: RaspPi, RecNum: 34
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:06, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:06, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:08, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:08, Acq. 35, Trigger: RaspPi, RecNum: 35
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:08, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:08, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:10, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:10, Acq. 36, Trigger: RaspPi, RecNum: 36
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:10, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:10, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:11, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:11, Acq. 37, Trigger: RaspPi, RecNum: 37
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:11, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:11, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:11, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:12, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:12, Acq. 38, Trigger: RaspPi, RecNum: 38
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:13, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:13, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:13, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:13, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:13, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:13, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:14, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:14, Acq. 39, Trigger: RaspPi, RecNum: 39
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:14, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:14, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:14, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:14, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:14, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:14, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:15, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:15, Acq. 40, Trigger: RaspPi, RecNum: 40
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:15, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:17, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:17, Acq. 41, Trigger: RaspPi, RecNum: 41
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:17, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:17, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:17, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:17, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:18, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:18, Acq. 42, Trigger: RaspPi, RecNum: 42
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:18, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:21, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:22, Acq. 43, Trigger: RaspPi, RecNum: 43
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:22, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:22, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:22, Acq. 44, Trigger: RaspPi, RecNum: 45
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:22, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:22, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:22, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:22, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:22, Partial or no data received, retrying capture
